cost,balance,conservation,protected,config
0,16.5764,6.11454,,
2.57055e-06,16.5764,6.05089,film,bf16:film
0.00154814,10.073,5.0415,decoder_heads,bf16:decoder_heads
0.00155072,10.073,4.97784,decoder_heads|film,bf16:decoder_heads|film
0.00226651,9.71969,4.66957,decoder_heads|cond_embed,bf16:cond_embed|decoder_heads
0.00226908,9.71969,4.60591,decoder_heads|film|cond_embed,bf16:cond_embed|decoder_heads|film
0.00801035,9.38297,4.15305,downsample|decoder_heads|cond_embed,bf16:cond_embed|decoder_heads|downsample
0.00801292,9.38297,4.0894,downsample|decoder_heads|film|cond_embed,bf16:cond_embed|decoder_heads|downsample|film
0.042476,9.38297,3.15912,enc0_attn|downsample|decoder_heads|film|cond_embed,bf16:cond_embed|decoder_heads|downsample|enc0_attn|film
0.10853,8.14041,2.3798,enc0_attn|enc1_attn|downsample|upsample|decoder_heads|film|cond_embed,bf16:cond_embed|decoder_heads|downsample|enc0_attn|enc1_attn|film|upsample
0.160222,1.69135,2.66807,encoder_io|downsample|upsample|decoder_io|decoder_heads|cond_embed,bf16:cond_embed|decoder_heads|decoder_io|downsample|encoder_io|upsample
0.160225,1.69135,2.60441,encoder_io|downsample|upsample|decoder_io|decoder_heads|film|cond_embed,bf16:cond_embed|decoder_heads|decoder_io|downsample|encoder_io|film|upsample
0.217661,0.857578,2.00514,encoder_io|enc1_attn|downsample|upsample|decoder_io|decoder_heads|cond_embed,bf16:cond_embed|decoder_heads|decoder_io|downsample|enc1_attn|encoder_io|upsample
0.252126,0.857578,1.01121,encoder_io|enc0_attn|enc1_attn|downsample|upsample|decoder_io|decoder_heads|film|cond_embed,bf16:cond_embed|decoder_heads|decoder_io|downsample|enc0_attn|enc1_attn|encoder_io|film|upsample
0.286587,0.219837,1.9133,encoder_io|enc0_mlp|enc1_attn|downsample|upsample|decoder_io|decoder_heads|cond_embed,bf16:cond_embed|decoder_heads|decoder_io|downsample|enc0_mlp|enc1_attn|encoder_io|upsample
0.286589,0.857578,0.781141,encoder_io|enc0_attn|enc1_attn|downsample|dec2_attn|upsample|decoder_io|decoder_heads|film|cond_embed,bf16:cond_embed|dec2_attn|decoder_heads|decoder_io|downsample|enc0_attn|enc1_attn|encoder_io|film|upsample
0.321052,0.219837,0.919364,encoder_io|enc0_attn|enc0_mlp|enc1_attn|downsample|upsample|decoder_io|decoder_heads|film|cond_embed,bf16:cond_embed|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|encoder_io|film|upsample
0.355515,0.219837,0.689296,encoder_io|enc0_attn|enc0_mlp|enc1_attn|downsample|dec2_attn|upsample|decoder_io|decoder_heads|film|cond_embed,bf16:cond_embed|dec2_attn|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|encoder_io|film|upsample
0.355515,0.857578,0.642009,encoder_io|enc0_attn|enc1_attn|downsample|dec2_attn|dec2_mlp|upsample|decoder_io|decoder_heads|film|cond_embed,bf16:cond_embed|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc1_attn|encoder_io|film|upsample
0.378488,0.0805771,1.76052,encoder_io|enc0_mlp|enc1_attn|downsample|dec0_mlp|upsample|decoder_io|decoder_heads|cond_embed,bf16:cond_embed|dec0_mlp|decoder_heads|decoder_io|downsample|enc0_mlp|enc1_attn|encoder_io|upsample
0.447417,0.0805771,0.536523,encoder_io|enc0_attn|enc0_mlp|enc1_attn|downsample|dec0_mlp|dec2_attn|upsample|decoder_io|decoder_heads|film|cond_embed,bf16:cond_embed|dec0_mlp|dec2_attn|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|encoder_io|film|upsample
0.493365,0,1.64594,encoder_io|enc0_mlp|enc1_attn|enc1_mlp|downsample|dec0_mlp|upsample|decoder_io|decoder_heads|cond_embed,bf16:cond_embed|dec0_mlp|decoder_heads|decoder_io|downsample|enc0_mlp|enc1_attn|enc1_mlp|encoder_io|upsample
0.516343,0.0805771,0.397391,encoder_io|enc0_attn|enc0_mlp|enc1_attn|downsample|dec0_mlp|dec2_attn|dec2_mlp|upsample|decoder_io|decoder_heads|film|cond_embed,bf16:cond_embed|dec0_mlp|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|encoder_io|film|upsample
0.562294,0.718318,0.316458,encoder_io|enc0_attn|enc1_attn|downsample|dec0_mlp|dec1_mlp|dec2_attn|dec2_mlp|upsample|decoder_io|decoder_heads|film|cond_embed,bf16:cond_embed|dec0_mlp|dec1_mlp|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc1_attn|encoder_io|film|upsample
