tag,floor,guide,lead,balance,conservation
W4W8_rmse_span1,W4,rmse,24,0.0296848,0.604357
W4W8_rmse_span1,W4,rmse,72,0.0944481,1.69228
W4W8_rmse_span1,W4,rmse,120,0.110449,3.21963
W4W8_rmse_span1,W4,rmse,168,0.112008,2.2916
W4W8_rmseup_span1,W4,rmse,24,0.0296618,0.652288
W4W8_rmseup_span1,W4,rmse,72,0.0843025,1.70183
W4W8_rmseup_span1,W4,rmse,120,0.0966246,3.27454
W4W8_rmseup_span1,W4,rmse,168,0.0935205,2.28412
W4W8_span1,W4,physics,24,0.147596,0.0901961
W4W8_span1,W4,physics,72,0.54962,0.455285
W4W8_span1,W4,physics,120,0.540791,1.02995
W4W8_span1,W4,physics,168,0.556321,0.950623
W8A8_knee,W8A8,physics,24,4.96565,0.658824
W8A8_knee,W8A8,physics,72,5.43545,1.58252
W8A8_knee,W8A8,physics,120,4.47843,3.04798
W8A8_knee,W8A8,physics,168,4.78106,2.29111
W8A8_rmseup_knee,W8A8,rmse,24,4.69256,0.262309
W8A8_rmseup_knee,W8A8,rmse,72,5.07115,1.75711
W8A8_rmseup_knee,W8A8,rmse,120,4.14293,3.13145
W8A8_rmseup_knee,W8A8,rmse,168,4.42648,2.0813
W8A8_rmseup_span1,W8A8,rmse,24,4.35385,0.846187
W8A8_rmseup_span1,W8A8,rmse,72,4.6684,0.822764
W8A8_rmseup_span1,W8A8,rmse,120,3.776,1.16417
W8A8_rmseup_span1,W8A8,rmse,168,3.92647,0.620283
W4W8_rmse_span2,W4,rmse,24,0.0298017,0.664924
W4W8_rmse_span2,W4,rmse,72,0.0718324,1.69959
W4W8_rmse_span2,W4,rmse,120,0.0860978,3.264
W4W8_rmse_span2,W4,rmse,168,0.0835675,2.25786
W4W8_span2,W4,physics,24,0.0674979,0.0169935
W4W8_span2,W4,physics,72,0.142161,0.0534553
W4W8_span2,W4,physics,120,0.141188,0.0942873
W4W8_span2,W4,physics,168,0.139275,0.0292602
W4W8_span3,W4,physics,24,0.0387367,0.00566449
W4W8_span3,W4,physics,72,0.0682793,0.020935
W4W8_span3,W4,physics,120,0.0619422,0.0876317
W4W8_span3,W4,physics,168,0.0538453,0.0498753
